,country,foodName,year,cost
103,Developing,Potatoes,2016,0.06747333333333333
104,Developing,Rice,2017,0.9957630826409507
105,Developing,Meat,2017,0.4245050000000001
106,Developing,Wheat flour,2017,1.014230290000001
107,Developing,Potatoes,2017,0.08967999999999998
108,Developing,Rice,2018,1.0880728663658557
109,Developing,Meat,2018,0.543725
110,Developing,Wheat flour,2018,1.042911622392857
111,Developing,Potatoes,2018,0.10915500000000002
112,Developing,Rice,2019,1.670004404982151
113,Developing,Meat,2019,0.8667549999999999
114,Developing,Wheat flour,2019,1.5242658370786504
115,Developing,Potatoes,2019,0.144765
116,Developing,Rice,2020,2.6814838437215145
117,Developing,Meat,2020,1.4368347000000001
118,Developing,Wheat flour,2020,1.7358418934579432
119,Developing,Potatoes,2020,0.24057975
